Timestamp,CPU_Usage_Percent,Memory_Usage_MB,Memory_Usage_Percent,Load_Avg_1m,Load_Avg_5m,Load_Avg_15m,Node_Process_CPU_Percent,Node_Process_Memory_MB
2025-03-06 23:38:52,33.99,,6.14,3.45,4.02,4.32,0.0,0.0
2025-03-06 23:38:54,28.17,,6.16,3.45,4.02,4.32,0.0,0.0
2025-03-06 23:38:55,21.31,,6.14,3.57,4.04,4.33,0.0,0.0
2025-03-06 23:38:57,35.1,,6.15,3.57,4.04,4.33,0.0,0.0
2025-03-06 23:38:58,22.85,,1.51,3.57,4.04,4.33,0.0,0.0
2025-03-06 23:39:00,15.90,,1.53,3.28,3.97,4.30,0.0,0.0
2025-03-06 23:39:01,17.8,,1.55,3.28,3.97,4.30,0.0,0.0
2025-03-06 23:39:03,15.97,,9.66,3.28,3.97,4.30,0.0,0.0
2025-03-06 23:39:04,15.74,,1.55,3.34,3.97,4.30,0.0,0.0
2025-03-06 23:39:06,26.48,,1.55,3.34,3.97,4.30,0.0,0.0
2025-03-06 23:39:07,31.33,,1.51,3.34,3.97,4.30,0.0,0.0
2025-03-06 23:39:09,17.50,,1.53,3.39,3.97,4.30,0.0,0.0
2025-03-06 23:39:10,24.14,,1.54,3.39,3.97,4.30,0.0,0.0
2025-03-06 23:39:12,33.7,,1.53,3.39,3.97,4.30,0.0,0.0
2025-03-06 23:39:14,23.86,,1.54,3.39,3.97,4.30,0.0,0.0
2025-03-06 23:39:15,16.24,,1.54,3.20,3.92,4.28,0.0,0.0
2025-03-06 23:39:17,19.94,,1.47,3.20,3.92,4.28,0.0,0.0
2025-03-06 23:39:18,18.28,,1.48,3.20,3.92,4.28,0.0,0.0
2025-03-06 23:39:20,37.41,,1.48,2.95,3.85,4.25,0.0,0.0
2025-03-06 23:39:21,25.68,,1.48,2.95,3.85,4.25,0.0,0.0
2025-03-06 23:39:23,19.18,,1.54,2.95,3.85,4.25,0.0,0.0
2025-03-06 23:39:24,17.40,,1.56,2.95,3.84,4.25,0.0,0.0
2025-03-06 23:39:26,21.73,,1.58,2.95,3.84,4.25,0.0,0.0
2025-03-06 23:39:27,22.74,,1.61,2.95,3.84,4.25,0.0,0.0
2025-03-06 23:39:29,26.91,,1.62,2.95,3.84,4.25,0.0,0.0
2025-03-06 23:39:30,17.4,,1.56,3.43,3.92,4.27,0.0,0.0
2025-03-06 23:39:32,24.61,,1.56,3.43,3.92,4.27,0.0,0.0
2025-03-06 23:39:33,17.24,,1.56,3.43,3.92,4.27,0.0,0.0
2025-03-06 23:39:35,23.52,,1.56,3.32,3.89,4.26,0.0,0.0
2025-03-06 23:39:36,32.86,,1.55,3.32,3.89,4.26,0.0,0.0
2025-03-06 23:39:38,45.38,,1.64,3.32,3.89,4.26,0.0,0.0
2025-03-06 23:39:39,39.69,,1.61,4.01,4.03,4.31,0.0,0.0
2025-03-06 23:39:41,37.4,,1.59,4.01,4.03,4.31,0.0,0.0
2025-03-06 23:39:43,24.39,,1.47,4.01,4.03,4.31,0.0,0.0
2025-03-06 23:39:44,30.38,,1.47,3.85,3.99,4.29,0.0,0.0
2025-03-06 23:39:46,39.87,,1.87,3.85,3.99,4.29,0.0,0.0
2025-03-06 23:39:47,43.58,,2.02,3.85,3.99,4.29,0.0,0.0
2025-03-06 23:39:49,27.60,,2.09,3.94,4.01,4.30,0.0,0.0
2025-03-06 23:39:51,30.76,,2.09,3.94,4.01,4.30,0.0,0.0
